Province_EN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KHON KAEN,62511.801656,67611.616311,72141.278934,63391.779979000006,69124.538586,66556.015052,66323.851538,70862.38783200001,76993.55894100001,80677.316788,80538.21817299999,92179.80233199999,98617.750182,105212.66956000001,110518.513525,112368.685119,117515.147033,131597.463857,125143.139891,124908.151864,126557.85116,126685.693337,131687.045429,134991.253347
UDON THANI,33770.455675,36543.943552,37887.924764999996,34049.593375000004,35366.260518,37395.815539,35697.366875,38157.592592999994,42612.353016,42670.084309,41758.562,43764.616537,49222.362636000005,47405.56174600001,52171.421785,53411.538201999996,60113.899211,61809.522031,63780.929772,65727.458567,67685.182754,68206.545145,69171.922097,72391.989009
LOEI,11279.630198,12585.329447,12782.713167,12743.810083,13053.886153,14075.20493,13854.772363,14595.390948,14994.571241,15340.834194,15604.401996,16285.114537,17654.998086,17470.855628,17918.787008,19444.687259000002,21817.147826,23955.381192,24551.20482,25945.814771,26697.410401999998,27990.863811,30377.692871,33652.804496
NONG KHAI,18665.213198,18648.239584,18487.364515999998,18797.178829,20995.417363999997,18446.976827000002,17954.276656,20519.902083,21502.524065,22532.574518,23273.714188,24222.256717,24124.959959,25525.310718,27769.350999,29185.041,21679.081875,21780.681025,21979.845933,21641.85799,22591.422754,23327.884761,23834.633171999998,25099.065635
MUKDAHAN,6871.914217,7289.230856,7050.12951,6521.76898,6881.179136999999,7616.530706,7477.505426,7908.381885,8654.224703,8729.888304,8732.975341,9089.023189,9629.681852,9648.478731000001,10415.951527000001,10800.507984,12506.930664,12580.25361,13929.026244,14130.458837,14611.636988,15038.140968,16153.081745,16317.614399
NAKHON PHANOM,11536.978627,12986.196494000002,12160.625867,12823.579516,14513.114365,13802.107053,13617.519817999999,13867.127091,14948.341304,14622.161237,14669.249008,15238.392791,15649.314456,16106.104556,17635.107301,18710.462376,19923.339459,22930.778,22465.560406,22138.978926,22852.577425000003,24124.306888,24254.730294,24794.250518999997
SAKON NAKHON,18362.329875,20706.457137999998,18135.035799,17875.4886,19229.531307,20028.070567,21077.290272,21075.791111,23442.191686000002,24900.197001,26012.144569,23637.170363,23936.102008,24155.262204000002,25822.475516000002,26246.565113999997,27383.874821,29794.82001,30300.384458,29886.793735,30785.273374,33130.11549,33504.802131000004,34549.796783000005
KALASIN,14664.253612,14729.673713999999,14706.639968,16159.812661,15492.599223000001,16680.3457,16711.347413,18065.119414,20279.75763,21370.23815,20882.384542,22519.097549,24126.68037,23506.501749,25371.860636,26098.647307,28819.051011999996,30288.521648,30527.265677,31031.44911,31793.490192,32665.739739,33136.469053,36560.121741
NAKHON RATCHASIMA,90389.166387,99686.35510599999,99866.66350899999,86903.22280999999,91251.34247199999,94455.419642,96450.21896700001,102989.60662699999,114222.833387,116906.65911400001,121066.46597,125921.84815100001,131999.76742699998,123861.829441,129331.50446,136086.330135,147354.158194,160880.844577,160575.025344,160801.637944,163246.901374,168748.69903500003,176177.53747399998,185839.30904700002
CHAIYAPHUM,18977.890249,21051.702026,20256.936338,19115.734046999998,20570.067332,22456.476076000003,22917.61273,22122.361243,24567.495171000002,24174.592744,23496.176025,25448.974592,27099.863542000003,27663.468966999997,30079.588312,30593.374621,33393.038349,34990.191618,35220.448035,34515.637511,35444.594768999996,37526.263147,38128.92768,40051.771754999994
YASOTHON,8585.347566,8734.699999,9025.451446,9029.420495,9235.796959000001,9689.546847,9878.514899,10215.464396,11040.719460999999,11647.372577999999,11429.954908,11797.359398,12017.317245,11970.008714,12548.613435000001,14134.049627,14803.740324999999,15471.417533,15798.029446,15667.257568,15396.468837,16110.060292,16141.668657999999,16534.222091
UBON RATCHATHANI,35372.111882,37999.918915999995,39245.2656,37405.545398,39976.404204,36925.087121,37702.020174,41747.788733,44521.171154,44520.832162000006,46028.740582,46539.348602,47287.337053,47367.985848000004,50867.741803000004,56325.47406,60525.991265,66427.552243,69705.783479,65315.539515,69753.22649,72919.371807,76757.401851,76253.847846
ROI ET,19574.250622,21283.114349,22726.079109,21764.564925,22275.690328,23267.597072,24419.043447,25001.065845,27285.817747999998,27938.514074,28826.816694,30425.065331,32413.467849999997,31476.353899,33520.073027,37104.20357600001,37230.724258,40365.894873000005,40110.138925,40184.620486,40852.637079,42187.789285000006,43625.635411,44248.981518
BURI RAM,27771.357339000002,28942.529788000003,28263.421619,27805.486942,30582.175699,27018.107040999996,27043.677401999998,31120.915416,31795.169966,33228.69456,33714.184886,35814.946886,36938.585276000005,37013.821957,39309.964487,42777.219430000005,45491.793951,45003.082851,47480.703228,47189.789841,49869.688276,50558.474762,51365.092106,49769.798403
SURIN,20965.522926,22417.015602,22521.424419,21978.00083,22885.255716,23926.627791000003,24284.514643000002,25184.857088999997,26912.635499,27799.055329,28472.931334999997,30089.827871,32332.610668,30940.487721999998,33398.01424,35842.728465,38301.013659,40076.484617,41024.176031,40466.129319,42490.068195,43524.089044,44384.533568,45401.630732000005
MAHA SARAKHAM,14751.74351,15946.925511000001,16283.676506,16376.646786,17444.016526,17384.177051,18146.111033999998,17876.072587,19416.006323999998,20153.067006999998,21118.794835999997,21819.303420000004,22767.728641,22912.927934,24458.939357,26458.725408,28211.549705999998,29154.246931,29082.779580000002,29525.617721000002,30407.569922,32087.526638,33382.742052,34567.842007
SI SA KET,19621.956353,20495.336563,20709.366175,19422.769081000002,20151.739340000004,20893.717950000002,22136.986696,22076.197395,24612.455109,25223.700642,26453.159397,28033.981364,29123.952768999996,28567.127933,29919.15771,33374.319259,35395.336179,37608.911119000004,37169.186144,36837.199483000004,38072.925426,39371.737937,40461.39985,41014.974819999996
NONGBUA LAMPHU,7434.008635,7922.5493129999995,7997.622266,7418.367003,7299.830453,7471.231274,7666.576064999999,7731.320701,8938.215427000001,9561.740952,10002.648508,11039.981067,12140.226399000001,11499.115056999999,11751.889737,12494.776494000002,13881.85971,14169.306867000001,14874.701522,15390.82296,15885.591532,16916.348444,17086.688966,18469.093806999997
